施策区分,必要/不要,カテゴリ１,カテゴリ２,用途,項目, 画像,規格,"アップ先
S3/AB",制作頻度,昇格タグ,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",画像名サンプル,担当班
通常,不要,パック,バナー,,"shop_pack_banner
スタートダッシュキャラパック",,668×220,AB,単発,,shop_pack_banner_[:asset_key],shop_pack_banner_pack_00001,
,不要,,,,"shop_pass_icon
プレミアムパス",,224×194,AB,単発,,shop_pass_icon_[:png_name],shop_pass_icon_premium,
,不要,,,,,,,,,,,,
通常,不要,お知らせ,バナー,,【ホームバナー】◆【お一人様11回まで購入可】スタートダッシュキャラパック,,,S3,単発,,hometop_[:png_name],hometop_shop_pack_00001,
通常,不要,お知らせ,バナー,,【お知らせ】◆【お一人様11回まで購入可】スタートダッシュキャラパック,,668×220,S3,単発,,notice_[:png_name],notice_shop_pack_00001,
通常,不要,パック,バナー,,【パック】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,668×220,AB,単発,,shop_pack_banner_[:asset_key],shop_pack_banner_pack_00002,
通常,不要,お知らせ,バナー,,【ホームバナー】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,668×220,S3,単発,,hometop_[:png_name],hometop_shop_pack_00002,
通常,不要,お知らせ,バナー,,【お知らせ】◆【お一人様1回まで購入可】スタートダッシュアイテムパック,,668×220,S3,単発,,notice_[:png_name],notice_shop_pack_00002,
通常,不要,パック,バナー,,【パック】◆【お一人様1回まで購入可】ジャンブルパック,,,,単発,,,,
いいジャン祭,必要,パック,バナー,,【パック】◆【お一人様1回まで購入可】いいジャン祭パック,,,AB,都度,,,,
記念,不要,パス,バナー,,【パス】◆リリース記念プレミアムパス,,,,単発,,,,
記念,不要,お知らせ,バナー,,【お知らせ】◆リリース記念プレミアムパス,,668×220,S3,都度,,notice_[:png_name],notice_shop_pass_00002,
記念,不要,お知らせ,バナー,,【ホームバナー】◆リリース記念プレミアムパス,,244×80,S3,都度,,hometop_[:png_name],hometop_shop_pass_00002,
,不要,,,,【パス】◆プレミアムパス(prefab),,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductGoldListCell.prefab,
,不要,,,,【パス】◆マンスリーパス(prefab),,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductPurpleListCell.prefab,
通常,不要,パス,バナー,,【パス】◆マンスリーパス,,224×194,AB,,,shop_pass_icon_[:png_name],shop_pass_icon_monthly,
通常,不要,パス,バナー,,【お知らせ】◆マンスリーパス,,668×220,S3,都度,,notice_[:png_name],notice_shop_pass_00001,
通常,不要,パス,バナー,,【ホームバナー】◆マンスリーパス,,244×80,S3,都度,,hometop_[:png_name],hometop_shop_pass_00001,
,不要,,,,【パス】銀色のウィークリーパス(prefab),,"668×539(最大)
表示する効果や報酬によって可変",prefab組み込み,,,PassShopProduct[:shop_pass_cell_color]ListCell,PassShopProductSilverListCell.prefab,
通常,不要,パス,バナー,,【パス】銀色のウィークリーパス(アイコン),,224×194,AB,単発,,shop_pass_icon_[:asset_key],shop_pass_icon_weekly,
通常,不要,,,,【お知らせ】◆ウィークリーパス,,,,,,,,
通常,不要,,,,【ホームバナー】◆ウィークリーパス,,,,,,,,
いいジャン祭,必要,お知らせ,バナー,,"【お知らせ】いいジャン祭開催お知らせ_Mバナー
・冷淡な精密機械　土刃 メイ
・葵 リリー
・新人魔法少女 桜木 カナ
notice_event_mag_00001",,668×220,S3,都度,event_mag_00001_01,notice_[:png_name],notice_event_mag_00001,
いいジャン祭,必要,お知らせ,バナー,,"【お知らせ】ログインボーナス_Mバナー
・新人魔法少女 桜木 カナ
・越谷 仁美
event_mag_00001_loginbonus",,668×220,AB,都度,event_mag_00001_01,[:asset_key]_loginbonus,event_kai_00001_loginbonus,
いいジャン祭,必要,お知らせ,バナー,,"【お知らせ】ミッション_Mバナー
・冷淡な精密機械　土刃 メイ
・新人魔法少女 桜木 カナ
event_mag_00001_mission",,668×220,AB,都度,event_mag_00001_01,[:asset_key]_mission,event_kai_00001_mission,
いいジャン祭,必要,お知らせ,バナー,,"【ホームバナー】お知らせ
・新人魔法少女 桜木 カナ
hometop_event_mag_00001",,244×80,S3,都度,event_mag_00001_01,hometop_[:png_name],hometop_event_kai_00001,
いいジャン祭,必要,お知らせ,バナー,,"【ホームバナー】ピックアップガシャ
・冷淡な精密機械　土刃 メイ",,244×80,S3,都度,event_mag_00001_01,hometop_[:png_name],hometop_gacha_kai_00001,
いいジャン祭,必要,コンテンツTOP,バナー,,"【コンテンツTOP】 バナー
・新人魔法少女 桜木 カナ
event_mag_00001_content_top",,698×200,AB,都度,event_mag_00001_01,[:asset_key]_content_top,event_kai_00001_content_top,
